"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2024","30,804.35","30,804.35","30,804.35","30,804.35","","-2.60%"
"12-03-2024","31,627.67","31,627.67","31,627.67","31,627.67","","-0.58%"
"11-03-2024","31,811.65","31,811.65","31,811.65","31,811.65","","-0.71%"
"07-03-2024","32,040.62","32,040.62","32,040.62","32,040.62","","0.27%"
"06-03-2024","31,953.91","31,953.91","31,953.91","31,953.91","","-0.01%"
"05-03-2024","31,957.10","31,957.10","31,957.10","31,957.10","","-0.24%"
"04-03-2024","32,035.51","32,035.51","32,035.51","32,035.51","","0.05%"
"02-03-2024","32,018.73","32,018.73","32,018.73","32,018.73","","0.35%"
"01-03-2024","31,906.58","31,906.58","31,906.58","31,906.58","","1.29%"
"29-02-2024","31,499.31","31,499.31","31,499.31","31,499.31","","0.35%"
"28-02-2024","31,390.09","31,390.09","31,390.09","31,390.09","","-1.34%"
"27-02-2024","31,817.30","31,817.30","31,817.30","31,817.30","","0.18%"
"26-02-2024","31,759.23","31,759.23","31,759.23","31,759.23","","-0.28%"
"23-02-2024","31,849.62","31,849.62","31,849.62","31,849.62","","0.15%"
"22-02-2024","31,802.39","31,802.39","31,802.39","31,802.39","","0.78%"
"21-02-2024","31,557.54","31,557.54","31,557.54","31,557.54","","-0.71%"
"20-02-2024","31,781.65","31,781.65","31,781.65","31,781.65","","0.17%"
"19-02-2024","31,728.70","31,728.70","31,728.70","31,728.70","","0.38%"
"16-02-2024","31,609.27","31,609.27","31,609.27","31,609.27","","0.65%"
"15-02-2024","31,403.73","31,403.73","31,403.73","31,403.73","","0.59%"
"14-02-2024","31,219.36","31,219.36","31,219.36","31,219.36","","0.71%"
"13-02-2024","31,000.76","31,000.76","31,000.76","31,000.76","","0.55%"
"12-02-2024","30,831.81","30,831.81","30,831.81","30,831.81","","-1.43%"
"09-02-2024","31,279.68","31,279.68","31,279.68","31,279.68","","-0.12%"
"08-02-2024","31,317.58","31,317.58","31,317.58","31,317.58","","-0.57%"
"07-02-2024","31,497.14","31,497.14","31,497.14","31,497.14","","0.38%"
"06-02-2024","31,378.02","31,378.02","31,378.02","31,378.02","","0.92%"
"05-02-2024","31,092.89","31,092.89","31,092.89","31,092.89","","-0.29%"
"02-02-2024","31,181.94","31,181.94","31,181.94","31,181.94","","0.68%"
"01-02-2024","30,972.56","30,972.56","30,972.56","30,972.56","","-0.12%"
"31-01-2024","31,011.17","31,011.17","31,011.17","31,011.17","","1.16%"
"30-01-2024","30,654.14","30,654.14","30,654.14","30,654.14","","-0.70%"
"29-01-2024","30,868.87","30,868.87","30,868.87","30,868.87","","1.64%"
"25-01-2024","30,369.59","30,369.59","30,369.59","30,369.59","","-0.30%"
"24-01-2024","30,460.23","30,460.23","30,460.23","30,460.23","","-0.77%"
